video_id,title,channel_name,subscriber_count,category,publish_date,trending_date,days_to_trend,year,month,day_of_week,trending_country,language,duration_seconds,views,likes,dislikes,comments,like_view_ratio_pct,comment_view_ratio_pct,engagement_score
VID000001,This survival challenge is UNREAL,FireShorts,197893,Comedy,06-03-2024,07-03-2024,1,2024,3,Wednesday,IN,en,903,134550,3544,352,546,2.634,0.4058,3.8514
VID000002,Learn Quantum Physics - Complete Beginner Guide,FireSports,16191,Education,21-03-2023,04-04-2023,14,2023,3,Tuesday,US,en,718,10000,358,86,23,3.58,0.23,4.27
VID000003,I Spent $1000 on AI tools,TruePlus,170530,Entertainment,12-05-2024,17-05-2024,5,2024,5,Sunday,MX,es,605,10000,498,132,174,4.98,1.74,10.2
VID000004,Ice | Doja Cat ft. Post Malone,ProChannel,31268,Music,09-08-2021,11-08-2021,2,2021,8,Monday,MX,es,371,10000,883,261,24,8.83,0.24,9.55
VID000005,The Future of VR is HERE,MoonClips,130507,Science & Technology,29-01-2022,05-02-2022,7,2022,1,Saturday,RU,ru,1186,104367,7656,1902,693,7.3357,0.664,9.3277
VID000006,We Found the SATISFYING luxury items,ProFilms,9227,People & Blogs,12-01-2023,12-01-2023,0,2023,1,Thursday,RU,ru,551,10000,473,86,133,4.73,1.33,8.72
VID000007,We Found the EPIC TikTok trends,DarkClips,133923,Pets & Animals,18-01-2020,18-01-2020,0,2020,1,Saturday,US,en,1854,1069280,49087,10878,2532,4.5907,0.2368,5.301
VID000008,The Most SATISFYING luxury items Ever,TrueClips,116308335,Entertainment,17-12-2025,20-12-2025,3,2025,12,Wednesday,AU,en,826,70889321,2810955,247563,344914,3.9653,0.4866,5.4249
VID000009,Why AI Will Change Everything,StarDaily,1694325,Science & Technology,05-02-2022,07-02-2022,2,2022,2,Saturday,US,en,888,795402,35431,9929,1360,4.4545,0.171,4.9674
VID000010,I Spent $10000 on survival challenge,DailyReacts,1424540,Entertainment,02-06-2020,05-06-2020,3,2020,6,Tuesday,US,en,148,607266,26715,7309,3374,4.3992,0.5556,6.066
VID000011,This AI tools is UNREAL,DarkShow,170363,People & Blogs,03-01-2026,06-01-2026,3,2026,1,Saturday,DE,de,1234,114334,3712,1262,444,3.2466,0.3883,4.4116
VID000012,Black Holes Explained in 30 Minutes,MrFilms,324064,Education,29-09-2021,30-09-2021,1,2021,9,Wednesday,US,en,774,50617,2722,593,682,5.3776,1.3474,9.4198
VID000013,We Found the AMAZING fast food,PrimeTV,763915,Comedy,08-05-2021,09-05-2021,1,2021,5,Saturday,IN,en,745,33429,547,162,65,1.6363,0.1944,2.2196
VID000014,🔥 BTS NEW SONG 2020,TheClips,4048,Music,14-08-2025,28-08-2025,14,2025,8,Thursday,US,en,180,10000,585,169,94,5.85,0.94,8.67
VID000015,We Tried TikTok trends For 24 Hours,OfficialShorts,70288,Entertainment,14-04-2021,15-04-2021,1,2021,4,Wednesday,VN,vi,570,13519,1173,141,100,8.6767,0.7397,10.8958
VID000016,INSANE survival challenge You Have to See,DarkSports,4872535,Howto & Style,16-07-2020,17-07-2020,1,2020,7,Thursday,US,en,450,783390,24121,5291,1090,3.0791,0.1391,3.4965
